Name,Price,Rating,city,Kilometers,Owner,Fuel_Type,Transmission,Insurance_Type,Car_Age
2015 Maruti Wagon R 1.0 VXI,350799,4.2,3686,53279,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,9
2016 Hyundai Grand i10 SPORTS 1.2 VTVT,454799,4.7,3686,46242,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,8
2010 Maruti Zen Estilo VXI,243989,4.2,3686,29214,OwnerSecond Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,14
2014 Maruti Alto K10 VXI AMT,290099,3.9,3686,46410,OwnerSecond Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,10
2012 Maruti Swift VDI,421699,4.3,3686,62206,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeComp,12
2020 Maruti Eeco 5 STR WITH AC PLUSHTR,438399,4.6,3686,17082,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,4
2015 Hyundai Elite i20 SPORTZ 1.2,518099,4.4,3686,61923,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,9
2011 Maruti Alto LXI,247957,4.2,3686,38938,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,13
2017 Hyundai Grand i10 SPORTZ O 1.2,598875,4.5,3686,15609,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,7
2016 Maruti Swift ZXI,678699,4.9,3686,3587,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeInsurance Expired,8
2015 Honda Brio 1.2 S MT I VTEC,411398,4.3,3686,46727,OwnerThird Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeThird_party,9
2015 Maruti Wagon R 1.0 VXI,380599,4.6,3686,48243,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeZero_Dep,9
2019 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,584699,4.9,3686,6891,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeZero_Dep,5
2009 Hyundai Santro Xing GLS,182599,4.1,3686,50156,OwnerSecond Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,15
2019 Maruti Alto 800 LXI,339799,4.6,3686,20321,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeZero_Dep,5
2008 Maruti Alto LXI,173399,4.0,3686,29879,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,16
2018 Hyundai Elite i20 ASTA 1.2,672599,4.8,3686,11962,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,6
2016 Maruti Eeco 7 STR,360599,4.3,3686,54919,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,8
2009 Hyundai Santro Xing GLS,241199,4.3,3686,31094,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,15
2015 Maruti Swift Dzire VDI BS IV,604299,4.5,3686,59826,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeComp,9
2009 Maruti Alto LXI,153399,4.3,3686,59696,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,15
2010 Hyundai i10 MAGNA 1.2 KAPPA2,281599,4.2,3686,28790,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,14
2015 Maruti Swift Dzire VXI 1.2 BS IV,531299,4.3,3686,39309,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,9
2016 Maruti Alto K10 VXI AMT,338799,4.3,3686,60866,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,8
2010 Hyundai Santro Xing GLS,181499,4.0,3686,67985,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,14
2016 Honda Jazz 1.2 V AT,619199,4.5,3686,34345,OwnerFirst Owner,FuelPetrol,TransmissionAUTOMATIC,Insurance TypeThird_party,8
2015 Maruti Swift Dzire VDI ABS,590199,4.6,3686,59957,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeComp,9
2018 Renault Kwid RXT 1.0 EASY-R AT OPTION,354599,4.5,3686,38747,OwnerFirst Owner,FuelPetrol,TransmissionAUTOMATIC,Insurance TypeExpired,6
2010 Hyundai i20 SPORTZ 1.2 O,341933,4.0,3686,81726,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,14
2016 Maruti Baleno ZETA 1.2 K12 ,639999,4.8,3686,22594,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeThird_party,8
2013 Maruti Alto 800 LXI,261499,4.3,3686,57525,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,11
2018 Hyundai NEW SANTRO 1.1 MAGNA CNG MT,486580,4.1,3686,27743,OwnerFirst Owner,FuelPetrol + CNG,TransmissionMANUAL,Insurance TypeZero_Dep,6
2017 Maruti Alto K10 VXI ,336299,4.5,3686,37328,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeNA,7
2018 Maruti Celerio X Vxi,432199,4.5,3686,31973,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeThird_party,6
2011 Hyundai Santro Xing GLS LPG,282899,4.3,3686,54368,OwnerFirst Owner,FuelPetrol + LPG,TransmissionMANUAL,Insurance TypeComp,13
2016 Maruti Wagon R 1.0 VXI,343899,4.2,3686,59094,OwnerSecond Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,8
2015 Maruti Alto 800 LXI,299799,4.3,3686,38472,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,9
2011 Hyundai i10 SPORTZ 1.2 KAPPA2,318599,4.2,3686,68764,OwnerSecond Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,13
2007 Maruti Zen Estilo LXI,151899,4.0,3686,45920,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,17
2015 Maruti Wagon R 1.0 VXI,409175,4.3,3686,53570,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeThird_party,9
2009 Hyundai i10 MAGNA 1.2,272142,4.2,3686,66427,OwnerSecond Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,15
2018 Maruti Swift ZXI AMT,694799,4.5,3686,39712,OwnerFirst Owner,FuelPetrol,TransmissionAUTOMATIC,Insurance TypeThird_party,6
2017 Hyundai Eon MAGNA PLUS,371470,4.1,3686,25439,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,7
2012 Hyundai i10 MAGNA 1.1 LPG,279599,3.8,3686,87828,OwnerFirst Owner,FuelPetrol + LPG,TransmissionMANUAL,Insurance TypeComp,12
2013 Ford Figo 1.4 TITANIUM DURATORQ,271699,3.9,3686,90368,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeExpired,11
2017 Maruti Wagon R 1.0 VXI,497400,4.4,3686,27797,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeZero_Dep,7
2018 Maruti Baleno ZETA 1.2 K12 AMT ,719672,4.4,3686,29197,OwnerFirst Owner,FuelPetrol,TransmissionAUTOMATIC,Insurance TypeThird_party,6
2017 Maruti IGNIS DELTA 1.2 K12 ,494999,4.5,3686,31925,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeZero_Dep,7
2019 Ford FREESTYLE TITANIUM 1.2 TI-VCT MT,671205,4.7,3686,16141,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,5
2015 Maruti S Cross ZETA 1.3,452753,4.4,3686,74127,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeExpired,9
2016 Hyundai Eon ERA PLUS,343740,4.1,3686,40681,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,8
2015 Maruti Baleno SIGMA 1.2 K12,560885,4.5,3686,28156,OwnerSecond Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeZero_Dep,9
2015 Maruti Wagon R 1.0 VXI,320699,4.0,3686,70993,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,9
2015 Maruti Swift Dzire VXI 1.2 BS IV,538199,4.3,3686,78713,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,9
2017 Maruti Baleno ALPHA DDIS 190 ,687299,4.5,3686,61489,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeZero_Dep,7
2019 Maruti Alto 800 LXI,382227,4.5,3686,34886,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,5
2018 Maruti Swift VXI,543099,4.4,3686,42546,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeZero_Dep,6
2015 Hyundai Grand i10 ASTA 1.2 AT VTVT,633180,4.4,3686,23738,OwnerSecond Owner,FuelPetrol,TransmissionAUTOMATIC,Insurance TypeExpired,9
2010 Maruti Wagon R 1.0 LXI,248899,4.3,3686,70903,OwnerSecond Owner,FuelPetrol + CNG,TransmissionMANUAL,Insurance TypeComp,14
2019 Maruti Swift VXI,745853,4.9,3686,14598,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,5
2017 Volkswagen Polo COMFORTLINE 1.2L PETROL,604106,4.6,3686,27276,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeZero_Dep,7
2009 Hyundai i20 MAGNA 1.2 VTVT,287165,3.7,3686,84373,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,15
2017 Maruti Dzire VXI,734309,4.5,3686,35440,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,7
2009 Hyundai Santro Xing GLS,210099,4.0,3686,82748,OwnerSecond Owner,FuelPetrol + LPG,TransmissionMANUAL,Insurance TypeExpired,15
2011 Maruti Wagon R 1.0 LXI CNG,244899,3.9,3686,114593,OwnerSecond Owner,FuelPetrol + CNG,TransmissionMANUAL,Insurance TypeExpired,13
2014 Ford Ecosport 1.5TITANIUM TDCI,534199,4.2,3686,80990,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeComp,10
2012 Maruti Alto K10 LXI,239642,4.1,3686,81759,OwnerSecond Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,12
2016 Volkswagen Vento HIGHLINE TDI AT,616999,4.3,3686,88336,OwnerFirst Owner,FuelDiesel,TransmissionAUTOMATIC,Insurance TypeExpired,8
2009 Honda Accord 2.4 AT I VTEC,291099,3.6,3686,163326,OwnerSecond Owner,FuelPetrol,TransmissionAUTOMATIC,Insurance TypeExpired,15
2018 Maruti Baleno ALPHA 1.2 K12 ,883298,4.9,3686,25811,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,6
2018 Maruti Alto 800 LXI,349499,4.3,3686,42143,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,6
2013 Maruti Alto 800 LXI,244180,4.1,3686,66047,OwnerSecond Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,11
2011 Hyundai i10 MAGNA 1.2 KAPPA2,262399,4.1,3686,116983,OwnerSecond Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,13
2012 Hyundai i10 SPORTZ 1.2 KAPPA2,305199,4.3,3686,114748,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,12
2009 Maruti Wagon R Duo LXI LPG,183099,3.7,3686,197377,OwnerFirst Owner,FuelPetrol + LPG,TransmissionMANUAL,Insurance TypeExpired,15
2010 Maruti Wagon R LXI,215499,4.0,3686,110417,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,14
2012 Maruti Swift ZDI,391099,4.0,3686,164757,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeComp,12
2015 Maruti Swift Dzire VDI BS IV,578899,3.7,3686,97036,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeExpired,9
2015 Maruti Swift VDI ABS,481799,4.2,3686,98101,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeComp,9
2013 Renault Fluence 1.5 E2,257071,3.7,3686,112136,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeExpired,11
2015 Maruti Swift Dzire VXI 1.2 BS IV,456699,4.3,3686,93657,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeZero_Dep,9
2009 Hyundai i10 SPORTZ 1.2,200199,4.1,3686,155505,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,15
2014 Volkswagen Polo HIGHLINE1.2L DIESEL,289399,4.4,3686,114877,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeComp,10
2016 Hyundai Creta 1.6 SX CRDI,984999,4.5,3686,76226,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeZero_Dep,8
2013 Honda Amaze 1.5 SMT I DTEC,401699,4.0,3686,85851,OwnerThird Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeThird_party,11
2015 Maruti Swift VDI ABS,451799,4.3,3686,119742,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeThird_party,9
2017 Maruti Baleno ALPHA 1.2 K12 ,666999,4.5,3686,26704,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeZero_Dep,7
2016 Hyundai Creta 1.6 CRDI SX PLUS AUTO,1188855,4.0,3686,108963,OwnerFirst Owner,FuelDiesel,TransmissionAUTOMATIC,Insurance TypeComp,8
2016 Honda City VX CVT PETROL,639030,4.3,3686,137243,OwnerFirst Owner,FuelPetrol,TransmissionAUTOMATIC,Insurance TypeExpired,8
2012 Maruti Swift VDI,374299,4.0,3686,146225,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeComp,12
2012 Maruti Wagon R 1.0 LXI CNG,316000,4.2,3686,66711,OwnerSecond Owner,FuelPetrol + CNG,TransmissionMANUAL,Insurance TypeThird_party,12
2015 Maruti Celerio VXI AMT,420000,4.3,3686,16695,OwnerFirst Owner,FuelPetrol,TransmissionAUTOMATIC,Insurance TypeZero Depreciation,9
2012 Tata Nano LX,50000,3.7,3686,34609,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,12
2006 Maruti 800 AC,70000,3.5,3686,40267,OwnerSecond Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeInsurance Expired,18
2006 Mahindra Bolero SLX,136000,3.3,3686,42510,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeExpired,18
2009 Maruti Alto LXI,170000,4.2,3686,18984,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance Type3rd Party,15
2005 Maruti Swift VXI 1.3,155000,3.4,3686,1,OwnerSecond Owner,FuelPetrol + LPG,TransmissionMANUAL,Insurance TypeInsurance Expired,19
2020 Maruti Eeco 5 STR WITH AC PLUSHTR,436000,4.9,3686,2716,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,4
2006 Maruti Swift VXI,220000,3.5,3686,48256,OwnerSecond Owner,FuelPetrol,TransmissionMANUAL,Insurance Type3rd Party,18
2005 Maruti Alto LXI,70000,3.2,3686,76810,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeInsurance Expired,19
2015 Tata Nano TWIST XTA,175000,4.3,3686,17870,OwnerFirst Owner,FuelPetrol,TransmissionAUTOMATIC,Insurance TypeComp,9
2004 Maruti Wagon R LXI,110000,3.3,3686,64366,OwnerSecond Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeInsurance Expired,20
2013 Hyundai i20 SPORTZ 1.2 VTVT,380000,4.2,3686,29669,OwnerSecond Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeInsurance Expired,11
2014 Maruti Celerio ZXI ,360000,4.5,3686,20953,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,10
2012 Hyundai i10 MAGNA 1.1 LPG,291000,4.2,3686,42957,OwnerSecond Owner,FuelPetrol + LPG,TransmissionMANUAL,Insurance TypeComprehensive,12
2012 Maruti Swift ZXI,351000,4.2,3686,56966,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,12
2004 Toyota Qualis FS B1,120000,3.1,3686,76520,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeExpired,20
2010 Honda City V MT PETROL,350000,4.2,3686,48267,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance Type3rd Party,14
2009 Hyundai Santro Xing GLS LPG,190000,4.1,3686,42913,OwnerFirst Owner,FuelPetrol + LPG,TransmissionMANUAL,Insurance TypeThird_party,15
2015 Maruti Alto K10 LXI CNG,320000,4.8,3686,9783,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeInsurance Expired,9
2010 Hyundai Accent EXECUTIVE,200000,3.7,3686,64822,OwnerSecond Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,14
2006 Honda Civic 1.8S MT,201000,3.5,3686,56403,OwnerThird Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,18
2016 Datsun Redi Go T (O),190000,4.5,3686,30604,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeZero_Dep,8
2013 Maruti Wagon R 1.0 VXI,300000,3.6,3686,33967,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,11
2007 Hyundai Santro Xing XL ERLX EURO III,145000,4.0,3686,44515,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,17
2011 Maruti Alto LXI,165000,4.0,3686,44975,OwnerSecond Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeInsurance Expired,13
2006 Maruti Swift VXI 1.3,180000,3.4,3686,66803,OwnerSecond Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeInsurance Expired,18
2019 Hyundai NEW SANTRO 1.1 MAGNA AMT,450000,4.1,3686,5482,OwnerSecond Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeInsurance Expired,5
2015 Hyundai Grand i10 SPORTS 1.2 VTVT,450000,4.4,3686,42261,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeThird_party,9
2007 Maruti Wagon R LXI,180000,3.9,3686,28739,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,17
2011 Hyundai Santro Xing GLS LPG,218500,4.2,3686,18552,OwnerFirst Owner,FuelPetrol + LPG,TransmissionMANUAL,Insurance TypeExpired,13
2008 Hyundai i10 MAGNA 1.1 IRDE2,205000,3.8,3686,72315,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,16
2008 Chevrolet Spark PS 1.0,110000,4.2,3686,50293,OwnerThird Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeInsurance Expired,16
2014 Hyundai Verna FLUIDIC 1.6 SX CRDI OPT,460000,3.7,3686,52535,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeInsurance Expired,10
2006 Maruti Swift VXI,70000,3.7,3686,66671,OwnerFourth Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,18
2015 Datsun Go Plus T,320000,4.6,3686,18976,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeInsurance Expired,9
2008 Hyundai i10 MAGNA 1.1 IRDE2,200000,4.0,3686,49819,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,16
2016 Honda Jazz 1.2 E MT ,400000,4.6,3686,19467,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeZero Depreciation,8
2007 Hyundai Verna VGT CRDI 1.5,175000,3.5,3686,94028,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeExpired,17
2016 Maruti Wagon R 1.0 VXI,370621,4.2,3686,1,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,8
2011 Hyundai i10 SPORTZ 1.2 KAPPA2,279000,4.4,3686,29260,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,13
2015 Renault Pulse RXL ABS D,370000,4.5,3686,15735,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeComp,9
2006 Maruti 800 AC,65000,3.8,3686,80634,OwnerSecond Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeInsurance Expired,18
2012 Maruti Alto K10 VXI ,195000,3.9,3686,30971,OwnerThird Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeInsurance Expired,12
2016 Renault Kwid RXT,280000,4.5,3686,23792,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeZero_Dep,8
2011 Maruti Alto LXI,180000,4.2,3686,37766,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance Type3rd Party,13
2016 Renault Kwid RXT 1.0 EASY-R  AT,350000,4.5,3686,29655,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,8
2019 Honda Amaze 1.2 SMT I VTEC,658260,4.8,3686,12826,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,5
2018 Maruti IGNIS DELTA 1.2 K12 AMT,515000,4.7,3686,14758,OwnerFirst Owner,FuelPetrol,TransmissionAUTOMATIC,Insurance TypeComprehensive,6
2007 Maruti Swift VDI,220000,3.2,3686,45803,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeExpired,17
2019 Hyundai NEW SANTRO SPORTZ 1.1,520000,4.7,3686,2543,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeZero Depreciation,5
2014 Maruti Alto 800 LXI,240000,4.5,3686,12952,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,10
2015 Maruti Swift Dzire VXI 1.2 BS IV,550000,4.6,3686,11150,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeZero_Dep,9
2007 Maruti Swift LDI,200000,3.5,3686,85182,OwnerFourth Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeInsurance Expired,17
2018 Hyundai Elite i20 SPORTZ 1.2,550000,4.4,3686,10994,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeInsurance Expired,6
2008 Maruti SX4 ZXI,192000,3.7,3686,73272,OwnerSecond Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeThird_party,16
2007 Maruti 800 STD,75000,3.2,3686,36124,OwnerSecond Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,17
2013 Maruti Wagon R 1.0 VXI,325000,4.3,3686,1,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComprehensive,11
2015 Maruti Swift VXI,490000,4.4,3686,29564,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeZero_Dep,9
2012 Honda City V MT PETROL,435000,4.2,3686,42767,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,12
2012 Tata Nano STD,70000,2.8,3686,31549,OwnerSecond Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,12
2008 Hyundai Santro Xing GL,160000,3.7,3686,60339,OwnerSecond Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,16
2018 Maruti Alto 800 LXI,310000,4.5,3686,19998,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComp,6
2002 Maruti Wagon R LXI,120000,3.7,3686,81052,OwnerSecond Owner,FuelPetrol + LPG,TransmissionMANUAL,Insurance TypeInsurance Expired,22
2020 Tata Tiago XZA+ 1.2 RTN ,638000,4.9,3686,2723,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeInsurance Expired,4
2011 Maruti Swift Dzire ZDI,350000,3.9,3686,70024,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeComprehensive,13
2018 Tata Tiago 	XZA 1.2 REVOTRON,450000,3.8,3686,19003,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeZero Depreciation,6
2013 Hyundai Eon ERA PLUS,165000,3.7,3686,48108,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeInsurance Expired,11
2004 Toyota Qualis FS F3,135000,3.0,3686,23942,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeExpired,20
